Time,Message
707060.3558119,"0.00
"
707060.3565654,"0.00
"
707060.3577922,"0.00
"
707060.3592,"0.00
"
707060.3606341,"0.00
"
707060.361816,"0.00
"
707060.363101,"0.00
"
707060.3643238,"0.00
"
707060.3656002,"0.00
"
707060.3669603,"0.00
"
707060.367894,"0.00
"
707060.3693955,"0.00
"
707060.3707807,"0.00
"
707060.3719684,"0.00
"
707060.373012,"0.00
"
707060.3742762,"0.00
"
707060.37564,"0.00
"
707060.3769773,"0.00
"
707060.3783151,"0.00
"
707060.3795873,"0.00
"
707060.3808223,"0.00
"
707060.3820642,"0.00
"
707060.3831715,"0.00
"
707060.3844442,"0.00
"
707060.3858838,"0.00
"
707060.3872337,"0.00
"
707060.3883061,"0.00
"
707060.3898387,"0.00
"
707060.3906998,"0.00
"
707060.3919737,"0.00
"
707060.3935157,"0.00
"
707060.3947764,"0.00
"
707060.3960031,"0.00
"
707060.3972899,"0.00
"
707060.3984207,"0.00
"
707060.3996511,"0.00
"
707060.4009063,"0.00
"
707060.4023094,"0.00
"
707060.4033865,"0.00
"
707060.4048415,"0.00
"
707060.4060575,"0.00
"
707060.407228,"0.00
"
707060.4086308,"0.00
"
707060.4098894,"0.00
"
707060.411168,"0.00
"
707060.4124296,"0.00
"
707060.4137994,"0.00
"
707060.4150581,"0.00
"
707060.4160921,"0.00
"
707060.4172936,"0.00
"
707060.4187657,"0.00
"
707060.4199042,"0.00
"
707060.4211259,"0.00
"
707060.4223979,"0.00
"
707060.4236503,"0.00
"
707060.4249845,"0.00
"
707060.4263871,"0.00
"
707060.4276372,"0.00
"
707060.4290487,"0.00
"
707060.4302922,"0.00
"
707060.431495,"0.00
"
707060.4327398,"0.00
"
707060.4340325,"0.00
"
707060.4350275,"0.00
"
707060.4363749,"0.00
"
707060.4376016,"0.00
"
707060.4390969,"0.00
"
707060.4401687,"0.00
"
707060.4414427,"0.00
"
707060.4426681,"0.00
"
707060.4439133,"0.00
"
707060.4451969,"0.00
"
707060.4464979,"0.00
"
707060.4477629,"0.00
"
707060.4490209,"0.00
"
707060.4502917,"0.00
"
707060.451647,"0.00
"
707060.4528653,"0.00
"
707060.4541094,"0.00
"
707060.4556723,"0.00
"
707060.4565841,"0.00
"
707060.4578982,"0.00
"
707060.4591923,"0.00
"
707060.4603655,"0.00
"
707060.461704,"0.00
"
707060.4629168,"0.00
"
707060.4642446,"0.00
"
707060.4654632,"0.00
"
707060.4667499,"0.00
"
707060.4679964,"0.00
"
707060.4692257,"0.00
"
707060.4704593,"0.00
"
707060.472048,"0.00
"
707060.4730938,"0.00
"
707060.4742999,"0.00
"
707060.4756752,"0.00
"
707060.4768339,"0.00
"
707060.4780748,"0.00
"
707060.4793382,"0.00
"
707060.4805979,"0.00
"
707060.4818846,"0.00
"
707060.483138,"0.00
"
707060.4844298,"0.00
"
707060.485837,"0.00
"
707060.4869666,"0.00
"
707060.4885074,"0.00
"
707060.4898415,"0.00
"
707060.4908794,"0.00
"
707060.4921572,"0.00
"
707060.4933363,"0.00
"
707060.4945861,"0.00
"
707060.495861,"0.00
"
